"session_key","meeting_key","driver_number","date","recording_url"
9466,1229,11,"2024-02-29T15:53:12.005000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/SERPER01_11_20240229_155304.mp3"
9466,1229,10,"2024-02-29T15:54:53.387000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/PIEGAS01_10_20240229_155420.mp3"
9466,1229,20,"2024-02-29T15:57:08.739000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/KEVMAG01_20_20240229_155650.mp3"
9466,1229,22,"2024-02-29T15:59:57.262000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/YUKTSU01_22_20240229_155929.mp3"
9466,1229,23,"2024-02-29T16:01:39.948000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/ALEALB01_23_20240229_160056.mp3"
9466,1229,4,"2024-02-29T16:01:42.221000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/LANNOR01_4_20240229_160121.mp3"
9466,1229,16,"2024-02-29T16:01:42.221000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/CHALEC01_16_20240229_160113.mp3"
9466,1229,31,"2024-02-29T16:01:42.221000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/ESTOCO01_31_20240229_160124.mp3"
9466,1229,81,"2024-02-29T16:01:42.221000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/OSCPIA01_81_20240229_160120.mp3"
9466,1229,3,"2024-02-29T16:05:39.202000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/DANRIC01_3_20240229_160530.mp3"
9466,1229,3,"2024-02-29T16:05:39.585000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/DANRIC01_3_20240229_160533.mp3"
9466,1229,3,"2024-02-29T16:06:13.684000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/DANRIC01_3_20240229_160540.mp3"
